date,sku_id,units_sold,revenue,unit_price,promo_flag,category,subcategory,launch_date,unit_cost,list_price,week,month,season,is_holiday,promo_event,on_hand_units,on_order_units,lead_time_days,reorder_point,day,day_of_week,quarter,year
2024-01-01,SKU001,16,3814.08,238.38,0,Appliances,General,2023-01-01,173,238.38,1,1,Winter,0,,171.0,95.0,13.0,71.0,1,0,1,2024
2024-01-01,SKU002,9,943.65,104.85,0,Furniture,General,2023-01-01,72,104.85,1,1,Winter,0,,78.0,59.0,5.0,29.0,1,0,1,2024
2024-01-01,SKU003,14,4658.92,332.78,0,Furniture,General,2023-01-01,183,332.78,1,1,Winter,0,,135.0,86.0,15.0,74.0,1,0,1,2024
2024-01-01,SKU004,11,2825.35,256.85,0,Furniture,General,2023-01-01,161,256.85,1,1,Winter,0,,207.0,11.0,15.0,20.0,1,0,1,2024
2024-01-01,SKU005,12,575.4,47.95,0,Furniture,General,2023-01-01,33,47.95,1,1,Winter,0,,155.0,68.0,6.0,49.0,1,0,1,2024
2024-01-01,SKU006,18,3963.6,220.2,0,Kitchen,General,2023-01-01,153,220.2,1,1,Winter,0,,208.0,86.0,11.0,57.0,1,0,1,2024
2024-01-01,SKU007,14,1491.7,106.55,0,Appliances,General,2023-01-01,66,106.55,1,1,Winter,0,,215.0,81.0,14.0,26.0,1,0,1,2024
2024-01-01,SKU008,5,100.7,20.14,0,Decor,General,2023-01-01,11,20.14,1,1,Winter,0,,139.0,60.0,3.0,59.0,1,0,1,2024
2024-01-01,SKU009,11,2970.2,270.02,1,Appliances,General,2023-01-01,188,300.02,1,1,Winter,0,,187.0,78.0,10.0,61.0,1,0,1,2024
2024-01-01,SKU010,15,959.72,63.98,1,Appliances,General,2023-01-01,49,71.09,1,1,Winter,0,,52.0,81.0,17.0,78.0,1,0,1,2024
2024-01-01,SKU011,16,786.24,49.14,0,Furniture,General,2023-01-01,36,49.14,1,1,Winter,0,,174.0,83.0,16.0,27.0,1,0,1,2024
2024-01-01,SKU012,12,2294.64,191.22,0,Appliances,General,2023-01-01,101,191.22,1,1,Winter,0,,91.0,5.0,4.0,39.0,1,0,1,2024
2024-01-01,SKU013,6,228.18,38.03,0,Furniture,General,2023-01-01,21,38.03,1,1,Winter,0,,272.0,14.0,6.0,35.0,1,0,1,2024
2024-01-01,SKU014,18,2585.7,143.65,0,Appliances,General,2023-01-01,106,143.65,1,1,Winter,0,,295.0,17.0,15.0,49.0,1,0,1,2024
2024-01-01,SKU015,14,4124.4,294.6,0,Appliances,General,2023-01-01,170,294.6,1,1,Winter,0,,209.0,85.0,20.0,46.0,1,0,1,2024
2024-01-01,SKU016,16,3603.68,225.23,0,Furniture,General,2023-01-01,157,225.23,1,1,Winter,0,,99.0,53.0,6.0,73.0,1,0,1,2024
2024-01-01,SKU017,18,666.36,37.02,0,Appliances,General,2023-01-01,21,37.02,1,1,Winter,0,,270.0,78.0,16.0,80.0,1,0,1,2024
2024-01-01,SKU018,8,455.68,56.96,0,Furniture,General,2023-01-01,30,56.96,1,1,Winter,0,,163.0,4.0,14.0,33.0,1,0,1,2024
2024-01-01,SKU019,9,1439.28,159.92,0,Appliances,General,2023-01-01,107,159.92,1,1,Winter,0,,247.0,56.0,10.0,74.0,1,0,1,2024
2024-01-01,SKU020,10,795.2,79.52,0,Decor,General,2023-01-01,51,79.52,1,1,Winter,0,,205.0,12.0,14.0,54.0,1,0,1,2024
2024-01-01,SKU021,11,2960.43,269.13,0,Furniture,General,2023-01-01,181,269.13,1,1,Winter,0,,203.0,7.0,15.0,37.0,1,0,1,2024
2024-01-01,SKU022,16,4605.44,287.84,0,Decor,General,2023-01-01,165,287.84,1,1,Winter,0,,117.0,15.0,17.0,25.0,1,0,1,2024
2024-01-01,SKU023,10,828.0,82.8,0,Appliances,General,2023-01-01,51,82.8,1,1,Winter,0,,128.0,82.0,3.0,23.0,1,0,1,2024
2024-01-01,SKU024,8,2465.92,308.24,0,Decor,General,2023-01-01,173,308.24,1,1,Winter,0,,190.0,31.0,7.0,70.0,1,0,1,2024
2024-01-01,SKU025,8,2259.92,282.49,0,Furniture,General,2023-01-01,185,282.49,1,1,Winter,0,,125.0,8.0,20.0,33.0,1,0,1,2024
2024-01-01,SKU026,12,1530.24,127.52,0,Appliances,General,2023-01-01,68,127.52,1,1,Winter,0,,130.0,29.0,13.0,69.0,1,0,1,2024
2024-01-01,SKU027,5,832.95,166.59,0,Decor,General,2023-01-01,112,166.59,1,1,Winter,0,,95.0,100.0,3.0,37.0,1,0,1,2024
2024-01-01,SKU028,7,2076.13,296.59,0,Appliances,General,2023-01-01,155,296.59,1,1,Winter,0,,94.0,16.0,20.0,36.0,1,0,1,2024
2024-01-01,SKU029,13,1463.28,112.56,0,Kitchen,General,2023-01-01,64,112.56,1,1,Winter,0,,109.0,14.0,3.0,28.0,1,0,1,2024
2024-01-01,SKU030,14,3949.26,282.09,0,Appliances,General,2023-01-01,174,282.09,1,1,Winter,0,,27.0,45.0,10.0,57.0,1,0,1,2024
2024-01-01,SKU031,12,795.24,66.27,0,Appliances,General,2023-01-01,45,66.27,1,1,Winter,0,,185.0,2.0,8.0,36.0,1,0,1,2024
2024-01-01,SKU032,16,4070.08,254.38,0,Kitchen,General,2023-01-01,159,254.38,1,1,Winter,0,,46.0,16.0,16.0,53.0,1,0,1,2024
2024-01-01,SKU033,15,2223.9,148.26,0,Decor,General,2023-01-01,102,148.26,1,1,Winter,0,,78.0,95.0,5.0,50.0,1,0,1,2024
