date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-01,SKU001,171,95,13,71
2024-01-01,SKU002,78,59,5,29
2024-01-01,SKU003,135,86,15,74
2024-01-01,SKU004,207,11,15,20
2024-01-01,SKU005,155,68,6,49
2024-01-01,SKU006,208,86,11,57
2024-01-01,SKU007,215,81,14,26
2024-01-01,SKU008,139,60,3,59
2024-01-01,SKU009,187,78,10,61
2024-01-01,SKU010,52,81,17,78
2024-01-01,SKU011,174,83,16,27
2024-01-01,SKU012,91,5,4,39
2024-01-01,SKU013,272,14,6,35
2024-01-01,SKU014,295,17,15,49
2024-01-01,SKU015,209,85,20,46
2024-01-01,SKU016,99,53,6,73
2024-01-01,SKU017,270,78,16,80
2024-01-01,SKU018,163,4,14,33
2024-01-01,SKU019,247,56,10,74
2024-01-01,SKU020,205,12,14,54
2024-01-01,SKU021,203,7,15,37
2024-01-01,SKU022,117,15,17,25
2024-01-01,SKU023,128,82,3,23
2024-01-01,SKU024,190,31,7,70
2024-01-01,SKU025,125,8,20,33
2024-01-01,SKU026,130,29,13,69
2024-01-01,SKU027,95,100,3,37
2024-01-01,SKU028,94,16,20,36
2024-01-01,SKU029,109,14,3,28
2024-01-01,SKU030,27,45,10,57
2024-01-01,SKU031,185,2,8,36
2024-01-01,SKU032,46,16,16,53
2024-01-01,SKU033,78,95,5,50
2024-01-01,SKU034,249,99,14,52
2024-01-01,SKU035,75,57,19,34
2024-01-01,SKU036,42,93,19,39
2024-01-01,SKU037,254,82,3,23
2024-01-01,SKU038,265,51,16,63
2024-01-01,SKU039,75,62,17,24
2024-01-01,SKU040,61,41,7,24
2024-01-01,SKU041,84,35,21,55
2024-01-01,SKU042,186,48,19,38
2024-01-01,SKU043,252,64,16,26
2024-01-01,SKU044,78,83,20,66
2024-01-01,SKU045,130,55,17,76
2024-01-01,SKU046,136,52,13,72
2024-01-01,SKU047,252,51,16,66
2024-01-01,SKU048,68,40,16,40
2024-01-01,SKU049,150,47,7,63
2024-01-01,SKU050,262,8,5,73
2024-01-01,SKU051,63,11,16,26
2024-01-01,SKU052,210,16,20,23
2024-01-01,SKU053,188,85,6,46
2024-01-01,SKU054,201,85,16,75
2024-01-01,SKU055,46,36,12,42
2024-01-01,SKU056,73,73,19,33
2024-01-01,SKU057,99,84,18,34
2024-01-01,SKU058,75,44,20,43
2024-01-01,SKU059,78,97,11,56
2024-01-01,SKU060,135,54,20,69
2024-01-01,SKU061,33,77,11,21
2024-01-01,SKU062,112,34,12,78
2024-01-01,SKU063,193,44,3,31
2024-01-01,SKU064,93,72,15,24
2024-01-01,SKU065,92,94,3,25
2024-01-01,SKU066,291,27,15,46
2024-01-01,SKU067,252,43,8,43
2024-01-01,SKU068,179,92,13,69
2024-01-01,SKU069,63,6,7,30
2024-01-01,SKU070,45,86,5,37
2024-01-01,SKU071,246,84,16,51
2024-01-01,SKU072,246,53,11,33
2024-01-01,SKU073,282,14,14,47
2024-01-01,SKU074,76,36,21,51
2024-01-01,SKU075,289,85,12,22
2024-01-01,SKU076,132,50,4,20
2024-01-01,SKU077,124,38,9,69
2024-01-01,SKU078,90,97,11,38
2024-01-01,SKU079,187,15,3,51
2024-01-01,SKU080,240,22,7,44
2024-01-01,SKU081,292,90,10,52
2024-01-01,SKU082,201,9,15,75
2024-01-01,SKU083,41,55,3,49
2024-01-01,SKU084,59,40,21,47
2024-01-01,SKU085,227,90,16,38
2024-01-01,SKU086,78,51,3,40
2024-01-01,SKU087,107,79,17,73
2024-01-01,SKU088,205,11,16,74
2024-01-01,SKU089,74,31,16,57
2024-01-01,SKU090,225,67,5,45
2024-01-01,SKU091,178,95,13,34
2024-01-01,SKU092,190,99,8,24
2024-01-01,SKU093,281,81,6,53
2024-01-01,SKU094,281,24,14,42
2024-01-01,SKU095,95,30,6,29
2024-01-01,SKU096,151,25,8,58
2024-01-01,SKU097,98,97,5,31
2024-01-01,SKU098,272,59,21,68
2024-01-01,SKU099,249,87,21,61
2024-01-01,SKU100,185,80,13,29
2024-01-01,SKU101,245,8,18,48
2024-01-01,SKU102,175,35,21,23
2024-01-01,SKU103,200,64,5,39
2024-01-01,SKU104,256,57,4,23
2024-01-01,SKU105,208,36,5,61
2024-01-01,SKU106,66,78,19,44
2024-01-01,SKU107,256,74,20,70
2024-01-01,SKU108,41,57,21,61
2024-01-01,SKU109,116,41,18,52
2024-01-01,SKU110,97,7,17,26
2024-01-01,SKU111,195,91,5,52
2024-01-01,SKU112,108,5,10,65
2024-01-01,SKU113,244,56,19,53
2024-01-01,SKU114,101,46,14,78
2024-01-01,SKU115,164,49,16,69
2024-01-01,SKU116,193,86,4,70
2024-01-01,SKU117,191,8,13,26
2024-01-01,SKU118,217,36,11,66
2024-01-01,SKU119,96,42,5,57
2024-01-01,SKU120,92,44,12,61
2024-01-01,SKU121,220,16,5,39
2024-01-01,SKU122,212,82,13,72
2024-01-01,SKU123,85,85,19,25
2024-01-01,SKU124,236,65,14,21
2024-01-01,SKU125,205,39,8,80
2024-01-01,SKU126,129,43,18,32
2024-01-01,SKU127,135,17,7,24
2024-01-01,SKU128,171,100,6,52
2024-01-01,SKU129,296,94,19,22
2024-01-01,SKU130,192,98,7,58
2024-01-01,SKU131,212,19,8,31
2024-01-01,SKU132,104,92,17,22
2024-01-01,SKU133,230,46,10,48
2024-01-01,SKU134,165,96,17,34
2024-01-01,SKU135,293,30,12,71
2024-01-01,SKU136,260,24,14,63
2024-01-01,SKU137,245,59,12,69
2024-01-01,SKU138,215,64,19,46
2024-01-01,SKU139,102,25,7,75
2024-01-01,SKU140,148,6,18,75
2024-01-01,SKU141,210,70,6,65
2024-01-01,SKU142,284,15,12,25
2024-01-01,SKU143,102,34,17,77
2024-01-01,SKU144,282,18,16,25
2024-01-01,SKU145,133,57,14,79
2024-01-01,SKU146,33,53,4,45
2024-01-01,SKU147,277,47,10,44
2024-01-01,SKU148,61,47,10,21
2024-01-01,SKU149,183,12,13,70
2024-01-01,SKU150,94,17,4,38
2024-01-01,SKU151,261,89,7,68
2024-01-01,SKU152,260,57,3,77
2024-01-01,SKU153,60,2,11,33
2024-01-01,SKU154,96,70,19,47
2024-01-01,SKU155,76,99,12,35
2024-01-01,SKU156,174,15,4,35
2024-01-01,SKU157,234,81,17,24
2024-01-01,SKU158,76,63,20,21
2024-01-01,SKU159,283,73,10,65
2024-01-01,SKU160,93,37,16,20
2024-01-01,SKU161,200,30,21,46
2024-01-01,SKU162,115,85,5,53
2024-01-01,SKU163,204,8,19,54
2024-01-01,SKU164,279,100,19,55
2024-01-01,SKU165,30,49,18,22
2024-01-01,SKU166,218,47,11,67
2024-01-01,SKU167,28,45,5,42
2024-01-01,SKU168,143,93,6,69
2024-01-01,SKU169,190,17,4,42
2024-01-01,SKU170,299,43,8,73
2024-01-01,SKU171,257,89,18,60
2024-01-01,SKU172,113,17,5,65
2024-01-01,SKU173,254,4,12,32
2024-01-01,SKU174,42,25,4,40
2024-01-01,SKU175,178,65,15,72
2024-01-01,SKU176,298,60,11,22
2024-01-01,SKU177,117,36,14,75
2024-01-01,SKU178,44,83,13,37
2024-01-01,SKU179,83,47,16,76
2024-01-01,SKU180,224,95,17,77
2024-01-01,SKU181,217,43,8,51
2024-01-01,SKU182,274,47,19,37
2024-01-01,SKU183,62,93,16,25
2024-01-01,SKU184,240,77,8,54
2024-01-01,SKU185,170,41,6,25
2024-01-01,SKU186,187,84,12,39
2024-01-01,SKU187,248,77,16,30
2024-01-01,SKU188,247,44,17,22
2024-01-01,SKU189,200,78,16,37
2024-01-01,SKU190,49,9,15,43
2024-01-01,SKU191,282,95,8,80
2024-01-01,SKU192,35,18,17,22
2024-01-01,SKU193,84,8,10,69
2024-01-01,SKU194,207,46,15,80
2024-01-01,SKU195,36,77,7,63
2024-01-01,SKU196,250,47,14,48
