date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-01-01,SKU001,16,3814.08,238.38,0
2024-01-01,SKU002,9,943.65,104.85,0
2024-01-01,SKU003,14,4658.92,332.78,0
2024-01-01,SKU004,11,2825.35,256.85,0
2024-01-01,SKU005,12,575.4,47.95,0
2024-01-01,SKU006,18,3963.6,220.2,0
2024-01-01,SKU007,14,1491.7,106.55,0
2024-01-01,SKU008,5,100.7,20.14,0
2024-01-01,SKU009,11,2970.2,270.02,1
2024-01-01,SKU010,15,959.72,63.98,1
2024-01-01,SKU011,16,786.24,49.14,0
2024-01-01,SKU012,12,2294.64,191.22,0
2024-01-01,SKU013,6,228.18,38.03,0
2024-01-01,SKU014,18,2585.7,143.65,0
2024-01-01,SKU015,14,4124.4,294.6,0
2024-01-01,SKU016,16,3603.68,225.23,0
2024-01-01,SKU017,18,666.36,37.02,0
2024-01-01,SKU018,8,455.68,56.96,0
2024-01-01,SKU019,9,1439.28,159.92,0
2024-01-01,SKU020,10,795.2,79.52,0
2024-01-01,SKU021,11,2960.43,269.13,0
2024-01-01,SKU022,16,4605.44,287.84,0
2024-01-01,SKU023,10,828.0,82.8,0
2024-01-01,SKU024,8,2465.92,308.24,0
2024-01-01,SKU025,8,2259.92,282.49,0
2024-01-01,SKU026,12,1530.24,127.52,0
2024-01-01,SKU027,5,832.95,166.59,0
2024-01-01,SKU028,7,2076.13,296.59,0
2024-01-01,SKU029,13,1463.28,112.56,0
2024-01-01,SKU030,14,3949.26,282.09,0
2024-01-01,SKU031,12,795.24,66.27,0
2024-01-01,SKU032,16,4070.08,254.38,0
2024-01-01,SKU033,15,2223.9,148.26,0
2024-01-01,SKU034,12,2764.32,230.36,0
2024-01-01,SKU035,10,534.7,53.47,0
2024-01-01,SKU036,8,2348.56,293.57,0
2024-01-01,SKU037,17,2877.25,169.25,0
2024-01-01,SKU038,11,2354.22,214.02,0
2024-01-01,SKU039,10,3320.3,332.03,0
2024-01-01,SKU040,14,3746.82,267.63,0
2024-01-01,SKU041,11,1877.7,170.7,0
2024-01-01,SKU042,2,742.28,371.14,0
2024-01-01,SKU043,11,2783.11,253.01,0
2024-01-01,SKU044,8,2052.08,256.51,0
2024-01-01,SKU045,2,153.06,76.53,0
2024-01-01,SKU046,5,1455.9,291.18,0
2024-01-01,SKU047,9,2240.01,248.89,0
2024-01-01,SKU048,14,1037.54,74.11,0
2024-01-01,SKU049,13,1237.34,95.18,0
2024-01-01,SKU050,12,674.16,56.18,0
2024-01-01,SKU051,7,1876.49,268.07,0
2024-01-01,SKU052,6,1743.72,290.62,0
2024-01-01,SKU053,16,1850.98,115.69,1
2024-01-01,SKU054,16,1997.12,124.82,0
2024-01-01,SKU055,11,3206.39,291.49,0
2024-01-01,SKU056,19,4473.17,235.43,0
2024-01-01,SKU057,11,583.51,53.05,1
2024-01-01,SKU058,12,1514.52,126.21,0
2024-01-01,SKU059,15,3489.9,232.66,0
2024-01-01,SKU060,2,665.36,332.68,0
2024-01-01,SKU061,8,417.68,52.21,0
2024-01-01,SKU062,10,464.8,46.48,0
2024-01-01,SKU063,12,3561.6,296.8,0
2024-01-01,SKU064,8,3049.6,381.2,0
2024-01-01,SKU065,8,1065.12,133.14,0
2024-01-01,SKU066,9,713.07,79.23,0
2024-01-01,SKU067,18,2586.33,143.69,1
2024-01-01,SKU068,11,2884.53,262.23,0
2024-01-01,SKU069,11,435.05,39.55,0
2024-01-01,SKU070,13,709.02,54.54,0
2024-01-01,SKU071,14,3321.64,237.26,0
2024-01-01,SKU072,15,1255.8,83.72,0
2024-01-01,SKU073,15,700.5,46.7,0
2024-01-01,SKU074,12,463.68,38.64,0
2024-01-01,SKU075,14,900.2,64.3,0
2024-01-01,SKU076,13,1071.07,82.39,0
2024-01-01,SKU077,5,609.7,121.94,0
2024-01-01,SKU078,8,651.12,81.39,0
2024-01-01,SKU079,12,1800.48,150.04,0
2024-01-01,SKU080,14,1854.72,132.48,0
2024-01-01,SKU081,18,1263.78,70.21,0
2024-01-01,SKU082,14,573.02,40.93,0
2024-01-01,SKU083,15,1809.0,120.6,0
2024-01-01,SKU084,9,2413.89,268.21,0
2024-01-01,SKU085,9,426.06,47.34,0
2024-01-01,SKU086,13,998.79,76.83,0
2024-01-01,SKU087,5,1732.0,346.4,0
2024-01-01,SKU088,7,548.52,78.36,0
2024-01-01,SKU089,14,3796.1,271.15,0
2024-01-01,SKU090,12,2471.28,205.94,0
2024-01-01,SKU091,11,1206.37,109.67,0
2024-01-01,SKU092,11,1160.5,105.5,0
2024-01-01,SKU093,5,1585.4,317.08,0
2024-01-01,SKU094,8,1404.24,175.53,0
2024-01-01,SKU095,8,155.6,19.45,0
2024-01-01,SKU096,13,610.22,46.94,0
2024-01-01,SKU097,16,1343.84,83.99,0
2024-01-01,SKU098,2,224.44,112.22,0
2024-01-01,SKU099,11,2527.8,229.8,0
2024-01-01,SKU100,13,4291.56,330.12,0
2024-01-01,SKU101,6,2021.76,336.96,0
2024-01-01,SKU102,12,2948.16,245.68,0
2024-01-01,SKU103,13,1382.16,106.32,0
2024-01-01,SKU104,12,4049.4,337.45,0
2024-01-01,SKU105,13,1837.16,141.32,0
2024-01-01,SKU106,4,441.76,110.44,0
2024-01-01,SKU107,20,4108.14,205.41,1
2024-01-01,SKU108,13,673.34,51.8,1
2024-01-01,SKU109,8,218.8,27.35,0
2024-01-01,SKU110,8,2748.4,343.55,0
2024-01-01,SKU111,16,4611.6,288.23,1
2024-01-01,SKU112,14,2799.16,199.94,0
2024-01-01,SKU113,11,3954.39,359.49,0
2024-01-01,SKU114,12,2131.32,177.61,0
2024-01-01,SKU115,11,1833.81,166.71,0
2024-01-01,SKU116,13,2325.02,178.85,1
2024-01-01,SKU117,13,1899.95,146.15,0
2024-01-01,SKU118,19,4692.05,246.95,0
2024-01-01,SKU119,10,3065.4,306.54,0
2024-01-01,SKU120,10,1011.5,101.15,0
2024-01-01,SKU121,10,1515.0,151.5,0
2024-01-01,SKU122,8,1712.64,214.08,0
2024-01-01,SKU123,9,990.81,110.09,0
2024-01-01,SKU124,12,2453.16,204.43,0
2024-01-01,SKU125,11,1045.22,95.02,0
2024-01-01,SKU126,14,1888.11,134.87,1
2024-01-01,SKU127,14,1234.94,88.21,0
2024-01-01,SKU128,9,1542.06,171.34,0
2024-01-01,SKU129,18,2253.78,125.21,0
2024-01-01,SKU130,12,4363.08,363.59,0
2024-01-01,SKU131,7,164.29,23.47,0
2024-01-01,SKU132,5,469.25,93.85,0
2024-01-01,SKU133,8,209.12,26.14,0
2024-01-01,SKU134,17,3015.46,177.38,0
2024-01-01,SKU135,19,3964.35,208.65,0
2024-01-01,SKU136,3,625.2,208.4,0
2024-01-01,SKU137,14,1397.62,99.83,0
2024-01-01,SKU138,8,133.12,16.64,0
2024-01-01,SKU139,15,2475.0,165.0,0
2024-01-01,SKU140,9,2311.56,256.84,0
2024-01-01,SKU141,10,3744.3,374.43,0
2024-01-01,SKU142,10,2854.6,285.46,0
2024-01-01,SKU143,15,4249.65,283.31,0
2024-01-01,SKU144,11,1034.66,94.06,0
2024-01-01,SKU145,19,6341.06,333.74,0
2024-01-01,SKU146,22,5615.87,255.27,1
2024-01-01,SKU147,19,5368.26,282.54,0
2024-01-01,SKU148,9,972.89,108.1,1
2024-01-01,SKU149,11,2283.49,207.59,0
2024-01-01,SKU150,17,3882.29,228.37,0
2024-01-01,SKU151,9,2177.73,241.97,0
2024-01-01,SKU152,17,1050.77,61.81,0
2024-01-01,SKU153,6,1656.9,276.15,0
2024-01-01,SKU154,6,371.4,61.9,0
2024-01-01,SKU155,9,2037.15,226.35,0
2024-01-01,SKU156,10,2003.5,200.35,0
2024-01-01,SKU157,12,4139.76,344.98,0
2024-01-01,SKU158,13,2141.49,164.73,0
2024-01-01,SKU159,11,750.86,68.26,0
2024-01-01,SKU160,10,1024.6,102.46,0
2024-01-01,SKU161,15,557.7,37.18,0
2024-01-01,SKU162,17,2686.07,158.0,1
2024-01-01,SKU163,9,2708.28,300.92,0
2024-01-01,SKU164,13,2764.45,212.65,0
2024-01-01,SKU165,13,3143.66,241.82,0
2024-01-01,SKU166,14,5328.54,380.61,0
2024-01-01,SKU167,10,1387.9,138.79,0
2024-01-01,SKU168,7,1640.87,234.41,0
2024-01-01,SKU169,9,1157.67,128.63,0
2024-01-01,SKU170,8,834.48,104.31,0
2024-01-01,SKU171,8,1606.0,200.75,0
2024-01-01,SKU172,12,1298.4,108.2,0
2024-01-01,SKU173,28,6941.59,247.91,1
2024-01-01,SKU174,7,1222.2,174.6,0
