date,sku_id,units_sold,revenue,unit_price,promo_flag,category,subcategory,launch_date,unit_cost,list_price,week,month,season,is_holiday,promo_event,on_hand_units,on_order_units,lead_time_days,reorder_point,day,day_of_week,quarter,year,Predicted_Units_Sold,Inventory_Gap,Inventory_Coverage,Risk_Score,Risk_Level
2024-01-01,SKU001,16,3814.08,238.38,0,Appliances,General,2023-01-01,173,238.38,1,1,Winter,0,,171.0,95.0,13.0,71.0,1,0,1,2024,14.24,156.76,11.220472440944881,8.18298969072165,Low
2024-01-01,SKU002,9,943.65,104.85,0,Furniture,General,2023-01-01,72,104.85,1,1,Winter,0,,78.0,59.0,5.0,29.0,1,0,1,2024,10.11,67.89,7.020702070207021,12.467736505442712,Low
2024-01-01,SKU003,14,4658.92,332.78,0,Furniture,General,2023-01-01,183,332.78,1,1,Winter,0,,135.0,86.0,15.0,74.0,1,0,1,2024,12.4,122.6,10.074626865671641,9.029649595687331,Low
2024-01-01,SKU004,11,2825.35,256.85,0,Furniture,General,2023-01-01,161,256.85,1,1,Winter,0,,207.0,11.0,15.0,20.0,1,0,1,2024,10.72,196.28,17.66211604095563,5.35844915874177,Low
2024-01-01,SKU005,12,575.4,47.95,0,Furniture,General,2023-01-01,33,47.95,1,1,Winter,0,,155.0,68.0,6.0,49.0,1,0,1,2024,10.77,144.23,13.169073916737469,7.05762427295077,Low
2024-01-01,SKU006,18,3963.6,220.2,0,Kitchen,General,2023-01-01,153,220.2,1,1,Winter,0,,208.0,86.0,11.0,57.0,1,0,1,2024,15.34,192.66,12.729498164014688,7.283587411963984,Low
2024-01-01,SKU007,14,1491.7,106.55,0,Appliances,General,2023-01-01,66,106.55,1,1,Winter,0,,215.0,81.0,14.0,26.0,1,0,1,2024,11.91,203.09,16.65375677769171,5.6645166951866965,Low
2024-01-01,SKU008,5,100.7,20.14,0,Decor,General,2023-01-01,11,20.14,1,1,Winter,0,,139.0,60.0,3.0,59.0,1,0,1,2024,7.35,131.65,16.646706586826348,5.666779776043434,Low
2024-01-01,SKU009,11,2970.2,270.02,1,Appliances,General,2023-01-01,188,300.02,1,1,Winter,0,,187.0,78.0,10.0,61.0,1,0,1,2024,13.32,173.68,13.058659217877095,7.1130538446254725,Low
2024-01-01,SKU010,15,959.72,63.98,1,Appliances,General,2023-01-01,49,71.09,1,1,Winter,0,,52.0,81.0,17.0,78.0,1,0,1,2024,15.89,36.11,3.078744819419775,24.51734649441138,Low
2024-01-01,SKU011,16,786.24,49.14,0,Furniture,General,2023-01-01,36,49.14,1,1,Winter,0,,174.0,83.0,16.0,27.0,1,0,1,2024,13.94,160.06,11.646586345381527,7.907272149888852,Low
2024-01-01,SKU012,12,2294.64,191.22,0,Appliances,General,2023-01-01,101,191.22,1,1,Winter,0,,91.0,5.0,4.0,39.0,1,0,1,2024,11.86,79.14,7.076205287713842,12.382052763335258,Low
2024-01-01,SKU013,6,228.18,38.03,0,Furniture,General,2023-01-01,21,38.03,1,1,Winter,0,,272.0,14.0,6.0,35.0,1,0,1,2024,11.74,260.26,21.350078492935637,4.474257217110346,Low
2024-01-01,SKU014,18,2585.7,143.65,0,Appliances,General,2023-01-01,106,143.65,1,1,Winter,0,,295.0,17.0,15.0,49.0,1,0,1,2024,15.95,279.05,17.404129793510325,5.4335630710049685,Low
2024-01-01,SKU015,14,4124.4,294.6,0,Appliances,General,2023-01-01,170,294.6,1,1,Winter,0,,209.0,85.0,20.0,46.0,1,0,1,2024,13.17,195.83,14.749470712773466,6.349419724873415,Low
2024-01-01,SKU016,16,3603.68,225.23,0,Furniture,General,2023-01-01,157,225.23,1,1,Winter,0,,99.0,53.0,6.0,73.0,1,0,1,2024,14.02,84.98,6.5912117177097205,13.173127521487457,Low
2024-01-01,SKU017,18,666.36,37.02,0,Appliances,General,2023-01-01,21,37.02,1,1,Winter,0,,270.0,78.0,16.0,80.0,1,0,1,2024,14.76,255.24,17.131979695431472,5.515117581187011,Low
